office_code,country,wbs_element
YECO,Yemen,
CDCO,Democratic Republic of the Congo,CD01.01.011.URT1
CDCO,Democratic Republic of the Congo,CD01.01.011.URT2
CDCO,Democratic Republic of the Congo,CD01.02.021.NTA1
CDCO,Democratic Republic of the Congo,CD01.02.021.NPA1
CDCO,Democratic Republic of the Congo,CD01.02.021.NPA2
CDCO,Democratic Republic of the Congo,CD01.03.031.ACL1
CDCO,Democratic Republic of the Congo,CD01.03.031.SMS1
DZCO,Algeria,DZ02.01.011.URT1
DZCO,Algeria,DZ02.02.021.NTA1
GTCO,Guatemala,GT01.02.011.NPA1
LACO,Lao People's Democratic Republic,LA01.01.013.SMP1
LACO,Lao People's Democratic Republic,LA01.04.031.ACL1
SOCO,Somalia,SO01.01.011.URT1
SOCO,Somalia,SO01.01.021.ACL1
SOCO,Somalia,SO01.02.031.NTA1
TDCO,Chad,TD01.02.031.NTA1
TDCO,Chad,TD01.02.031.SMS1
TDCO,Chad,TD01.01.011.URT1
TDCO,Chad,TD01.02.031.NPA1
TDCO,Chad,TD01.01.021.URT1
TDCO,Chad,TD01.01.021.SMP1
AOCO,Angola,AO01.01.011.URT1
BFCO,Burkina Faso,BF02.01.011.URT1
BFCO,Burkina Faso,BF02.01.021.SMP1
BFCO,Burkina Faso,BF02.02.031.NTA1
BFCO,Burkina Faso,BF02.04.041.ACL1
CGCO,Congo,CG01.01.011.URT1
CGCO,Congo,CG01.01.023.SMP1
CICO,Côte d'Ivoire,CI02.01.011.SMP1
CMCO,Cameroon,CM01.01.021.SMP1
CMCO,Cameroon,CM01.01.011.URT1
CMCO,Cameroon,CM01.02.031.NPA1
COCO,Colombia,CO01.01.021.URT1
COCO,Colombia,CO01.01.021.SMP1
COCO,Colombia,CO01.02.031.NPA1
COCO,Colombia,CO01.02.031.CSI1
COCO,Colombia,CO01.04.051.CAR1
COCO,Colombia,CO01.02.031.SMP1
HNCO,Honduras,HN01.01.011.SMP1
HNCO,Honduras,HN01.02.021.NPA1
HTCO,Haiti,HT02.01.011.URT1
HTCO,Haiti,HT02.01.021.URT1
HTCO,Haiti,HT02.01.021.SMP1
HTCO,Haiti,HT02.03.031.SMP1
MGCO,Madagascar,MG02.01.011.URT1
MGCO,Madagascar,MG02.01.023.SMP1
MGCO,Madagascar,MG02.02.031.NPA1
MGCO,Madagascar,MG02.04.041.SMS1
MZCO,Mozambique,MZ01.01.021.URT1
MZCO,Mozambique,MZ01.01.033.SMP1
RWCO,Rwanda,RW01.01.011.URT1
SYCO,Syrian Arab Republic,SY02.01.011.URT1
SYCO,Syrian Arab Republic,SY02.01.021.ACL1
SYCO,Syrian Arab Republic,SY02.02.031.NPA1
SYCO,Syrian Arab Republic,SY02.02.031.NTA1
TDCO,Chad,TD01.04.041.CAR1
UGCO,Uganda,UG01.01.011.URT1
UGCO,Uganda,UG01.01.011.URT2
UGCO,Uganda,UG01.02.031.NTA1
ZWCO,Zimbabwe,ZW01.01.011.URT1
ZWCO,Zimbabwe,ZW01.01.011.URT2
ZWCO,Zimbabwe,ZW01.02.021.NPA1
ZWCO,Zimbabwe,ZW01.04.041.ACL1
DJCO,Djibouti,DJ02.01.011.URT1
DJCO,Djibouti,DJ02.01.021.CSI1
DJCO,Djibouti,DJ02.01.021.NTA1
EGCO,Egypt,EG02.01.011.SMP1
EGCO,Egypt,EG02.04.041.CAR1
GMCO,Gambia,GM02.01.021.SMP1
TZCO,United Republic of Tanzania,TZ01.01.011.URT1
TZCO,United Republic of Tanzania,TZ01.02.021.NPA1
AFCO,Afghanistan,AF01.01.011.URT1
AFCO,Afghanistan,AF01.01.021.ACL1
AFCO,Afghanistan,AF01.02.031.NPA1
GNCO,Guinea,GN02.01.011.SMP1
GNCO,Guinea,GN02.02.031.NPA1
HNCO,Honduras,HN01.01.041.URT1
KECO,Kenya,KE01.01.011.URT1
KECO,Kenya,KE01.01.011.URT2
KECO,Kenya,KE01.04.021.ACL1
LRCO,Liberia,LR02.01.011.SMP1
GWCO,Guinea-Bissau,GW02.01.021.SMP1
GWCO,Guinea-Bissau,GW02.02.031.NPA1
NPCO,Nepal,NP02.01.011.URT1
NPCO,Nepal,NP02.02.021.NPA1
NPCO,Nepal,NP02.02.021.SMP1
NPCO,Nepal,NP02.04.031.CAR1
PKCO,Pakistan,PK01.01.011.URT1
PKCO,Pakistan,PK01.01.011.ACL1
PKCO,Pakistan,PK01.01.023.SMP1
PKCO,Pakistan,PK01.02.033.NPA1
SZCO,Eswatini,SZ01.05.021.SMP1
TJCO,Tajikistan,TJ02.01.011.SMP1
TJCO,Tajikistan,TJ02.02.021.NTA1
TJCO,Tajikistan,TJ02.04.031.ACL1
YECO,Yemen,YE01.01.011.URT1
YECO,Yemen,YE01.02.021.NTA1
YECO,Yemen,YE01.01.031.SMP1
IRCO,Iran (Islamic Republic of),IR01.01.011.URT1
PKCO,Pakistan,PK01.01.023.CSI1
SDCO,Sudan,SD02.02.021.SMP1
SLCO,Sierra Leone,SL02.03.041.ACL1
SLCO,Sierra Leone,SL02.02.031.NPA1
BICO,Burundi,BI01.01.011.URT1
BICO,Burundi,BI01.01.011.URT2
BICO,Burundi,BI01.01.021.SMP1
BICO,Burundi,BI01.02.031.NPA1
DOCO,Dominican Republic,DO02.02.021.CSI1
IRCO,Iran (Islamic Republic of),IR01.01.011.CSB1
JOCO,Jordan,JO02.01.011.URT1
JOCO,Jordan,JO02.01.021.SMP1
PHCO,Philippines,PH02.01.011.URT1
PHCO,Philippines,PH02.02.021.CSI1
PHCO,Philippines,PH02.05.031.CSI1
SNCO,Senegal,SN02.02.021.NPA1
SSCO,South Sudan,SS01.01.011.URT1
SSCO,South Sudan,SS01.01.011.URT2
SSCO,South Sudan,SS01.02.021.NTA1
SSCO,South Sudan,SS01.03.033.ACL1
GMCO,Gambia,GM02.02.031.NTA1
NGCO,Nigeria,NG01.01.011.URT1
NGCO,Nigeria,NG01.01.011.NPA1
NGCO,Nigeria,NG01.03.021.ACL1
PSCO,Palestine,PS01.01.011.URT1
AMCO,Armenia,AM02.01.013.SMP1
KPCO,Democratic People's Republic of Korea,KP02.01.011.NPA1
KPCO,Democratic People's Republic of Korea,KP02.01.021.ACL1
MMCO,Myanmar,MM01.01.011.URT1
MMCO,Myanmar,MM01.01.023.URT1
MMCO,Myanmar,MM01.02.031.NPA1
MMCO,Myanmar,MM01.02.031.NTA1
MMCO,Myanmar,MM01.02.031.URT1
ZMCO,Zambia,ZM02.01.013.URT1
LACO,Lao People's Democratic Republic,LA01.02.021.NPA1
NECO,Niger,NE02.01.011.URT1
NECO,Niger,NE02.01.021.SMP1
NECO,Niger,NE02.02.031.NTA1
NECO,Niger,NE02.04.041.ACL1
SLCO,Sierra Leone,SL02.01.011.URT1
SLCO,Sierra Leone,SL02.01.021.SMP1
BJCO,Benin,BJ02.01.011.SMP1
LYCO,Libya,LY01.01.011.URT1
LYCO,Libya,LY01.01.021.ACL1
MMCO,Myanmar,MM01.01.023.SMP1
MMCO,Myanmar,MM01.01.023.ACL1
NGCO,Nigeria,NG01.02.031.NPA1
SDCO,Sudan,SD02.01.011.URT1
SDCO,Sudan,SD02.01.011.SMP1
SDCO,Sudan,SD02.01.011.NPA1
SDCO,Sudan,SD02.02.021.NPA1
CMCO,Cameroon,CM01.01.021.URT1
CMCO,Cameroon,CM01.01.021.ACL1
KGCO,Kyrgyzstan,KG01.01.013.SMP1
KHCO,Cambodia,KH02.01.011.SMP1
CFCO,Central African Republic,CF01.01.011.URT1
CFCO,Central African Republic,CF01.01.011.SMP1
CFCO,Central African Republic,CF01.02.021.NTA1
CFCO,Central African Republic,CF01.02.021.SMP1
CFCO,Central African Republic,CF01.03.031.ACL1
CFCO,Central African Republic,CF01.01.011.NPA1
CFCO,Central African Republic,CF01.01.011.NTA1
UGCO,Uganda,UG01.01.023.SMP1
BDCO,Bangladesh,BD01.02.013.CSI4
BDCO,Bangladesh,BD01.01.021.URT1
BDCO,Bangladesh,BD01.01.021.URT2
BDCO,Bangladesh,BD01.01.021.URT3
BDCO,Bangladesh,BD01.02.013.CSI1
NICO,Nicaragua,NI02.01.011.SMP1
SNCO,Senegal,SN02.01.011.SMP1
CICO,Côte d'Ivoire,CI02.01.021.URT1
MRCO,Mauritania,MR02.01.011.URT1
MRCO,Mauritania,MR02.01.021.URT1
MRCO,Mauritania,MR02.01.021.SMP1
MRCO,Mauritania,MR02.02.031.NTA1
MRCO,Mauritania,MR02.04.041.ACL1
NACO,Namibia,NA01.01.031.URT1
BJCO,Benin,BJ02.02.021.NTA1
BJCO,Benin,BJ02.01.041.URT1
SVCO,El Salvador,SV01.01.041.URT1
LSCO,Lesotho,LS02.01.021.SMP1
LSCO,Lesotho,LS02.01.011.URT1
RWCO,Rwanda,RW01.01.023.CSI2
BICO,Burundi,BI01.01.021.ACL1
CUCO,Cuba,CU02.02.021.NPA1
ETCO,Ethiopia,ET01.01.011.URT1
ETCO,Ethiopia,ET01.01.011.NTA1
ETCO,Ethiopia,ET01.01.023.SMP1
ETCO,Ethiopia,ET01.01.011.URT3
ETCO,Ethiopia,ET01.01.023.CSI2
MWCO,Malawi,MW01.01.011.URT1
MWCO,Malawi,MW01.01.023.SMP1
MWCO,Malawi,MW01.02.031.NPA1
MWCO,Malawi,MW01.04.041.ACL1
RWCO,Rwanda,RW01.01.011.URT2
LRCO,Liberia,LR02.01.021.URT1
SYCO,Syrian Arab Republic,SY02.01.011.SMP1
MLCO,Mali,ML02.01.011.URT1
MLCO,Mali,ML02.01.011.NTA1
MLCO,Mali,ML02.01.021.SMP1
MLCO,Mali,ML02.02.031.NPA1
MLCO,Mali,ML02.03.041.ACL1
DZCO,Algeria,DZ02.01.011.SMP1
KGCO,Kyrgyzstan,KG01.03.021.ACL1
KGCO,Kyrgyzstan,KG01.04.031.ACL1
KPCO,Democratic People's Republic of Korea,KP02.01.031.URT1
CUCO,Cuba,CU02.02.021.SMP1
SVCO,El Salvador,SV01.02.011.NPA1
NICO,Nicaragua,NI02.01.041.URT1
CUCO,Cuba,CU02.01.041.URT1
CMCO,Cameroon,CM01.01.021.ACL2
SZCO,Eswatini,SZ01.01.031.URT1
